"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"1066",17.125,12.2875,5.379166667,11.0125,8.083333333,21.32916667,25.50833333,13.1875,6.933333333,28.45833333,22.72083333,21.08333333,23.78333333,19.2875,16.7,11.48333333,13.49583333,11.97916667,14.40416667,26.17916667,26.42083333,20.85416667,37.025,38.225,22.01666667,22.37916667,13.37391304,29.34166667,15.9625,15.13333333,15.34090909,10.50416667,4.4125,19.3,19.17083333,37.24166667,13.825,30.60416667
"1067",20.60833333,19.69583333,12.375,20.8375,27.60416667,10.99166667,14.725,14.1375,12.9875,14.97916667,17.60416667,16.86666667,19.12083333,21.525,18.04166667,20.3375,20,23.10833333,20.05833333,14.44285714,16.02083333,12.62083333,20.22916667,19.2375,12.71666667,23.18333333,15.87391304,14.72916667,21.45,22.3,36.86190476,7.804166667,21.35416667,10.49583333,18.86666667,20.32916667,17.75,15.9
"1068",21.2,17.675,12.67083333,17.85416667,9.158333333,8.083333333,6.608333333,6.716666667,14.15,21.19583333,9.308695652,12.175,11.675,11.65,11.23333333,10.1875,14.6,10.16666667,16.67916667,11.12916667,9.745833333,10.49166667,14.84166667,11.35,12.03333333,20.18333333,19.89583333,6.291666667,8.745833333,21.65454545,28.54583333,11.12083333,28.19583333,6.418181818,18.27916667,16.6375,9.795,11.56666667
"1069",3.025,19.15833333,8.120833333,16.86666667,13.9125,6.1375,6.183333333,7.008333333,10.97083333,18.05416667,8.947826087,10.72083333,21.04166667,14.27916667,13.72083333,7.691666667,11.24583333,15.8625,3.308333333,13.60416667,11.85833333,10.825,24.0375,23.93333333,16,16.20416667,20.49583333,9.5875,5.2625,3.9375,19.15416667,10.54583333,15.12083333,14.54166667,10.97916667,11.74166667,8.976190476,18.0125
"1070",10.82916667,13.85416667,6.979166667,13.9,24.7625,15.86666667,17.39583333,14.89583333,9.9,21.71666667,16.325,16.18333333,22.81666667,39.8375,35.78333333,29.33333333,16.89166667,22.81666667,14.69166667,19.9625,16.34583333,14.29166667,29.55,34.45416667,32.52916667,27.13333333,25.95833333,29.97083333,22.375,18.04166667,19.98695652,5.1125,21.83,15.68333333,17.0625,14.79583333,9.7625,21.7375
"1071",14.85,15.32916667,11.5,22.41666667,27.97083333,9.2125,8.954166667,18.10416667,14.73333333,19.10833333,11.3625,13.65,14.36666667,26,20.6,22.975,17.6125,23.04166667,10.29583333,16.48333333,13.70833333,15.15,15.85,17.1375,20.19583333,32.00416667,28.1,11.725,21.64166667,29.72083333,29.97083333,7.825,21.54583333,7.916666667,14.48333333,16.05416667,8.554166667,17.3875
"1072",13.06190476,10.73333333,8.558333333,13.5,13.25833333,19.60434783,18.92083333,7.266666667,7.495833333,31.3,15.25454545,19.0625,18.2,10.72083333,9.716666667,8.3,12.125,17.3375,10.65,18.47916667,17.54782609,18.675,15.8875,17.22083333,17.00833333,19.54583333,17.5875,17.94583333,11.8125,18.42916667,32.26086957,12.425,8.770833333,6.620833333,18.55909091,11.8375,8.85,19.55833333
"1073",10.07916667,18.42083333,9.7875,24.55,33.97083333,18.51363636,17.11578947,6.179166667,13.47916667,29.2125,15.31578947,15.75,14.67826087,13.775,12.08333333,11.67083333,11.625,14.4625,10.5375,15.52916667,14.66666667,14.46666667,18.54166667,14.83043478,17.025,17.39583333,22.075,17.41904762,10.39166667,11.35833333,27.49047619,10.5125,15.59583333,11.25833333,9.591666667,12.10833333,8.366666667,16.60833333
"1074",13.1375,24.75416667,14.55,23.1125,28.34166667,20.87916667,17.99166667,10.75833333,27.26666667,27.44166667,21.60833333,24.65833333,23.85454545,16.59166667,15.77083333,18.24583333,14.225,15.8375,13.24166667,15.125,14.80416667,15.2,16.65416667,13.85,17.42916667,21.05416667,23.72608696,15.29583333,17.2,14.44583333,32.925,12.6875,11.3375,11.8,15.975,13.19583333,14.8375,17.4125
"1075",12.85833333,48.725,19.34166667,39.3,32.825,20.62727273,21.35,7.654166667,17.75,23.76666667,20.90833333,19.72916667,20.22727273,24.32916667,26.19583333,23.35833333,18.79166667,14.94583333,11.55,6.075,5.6375,5.654166667,8.858333333,7.761904762,6.845833333,23.92083333,30.59565217,19.3875,15.72083333,12.57083333,23.10454545,14.075,13.67916667,3.7,26.2875,19.0125,2.008333333,7.2
"1076",13.33636364,40.15416667,28.50416667,40.25,39.70416667,8.595833333,9.7875,4.741666667,17.8,27.20416667,12.02,11.24583333,14.38636364,14.93181818,18.4625,13.4375,11.825,19.8875,7.708333333,14.45,13.12916667,13.17083333,16.79583333,15.10833333,16.67083333,31.9125,37.82083333,7.820833333,6.7,10.61666667,19.65263158,9.625,14.7125,5.9,19.09166667,20.04583333,3.409090909,16.90833333
"1077",7.833333333,15.1875,7.3,19.29583333,18.07916667,8.245833333,7.766666667,3.816666667,4.608333333,15.55,8.873913044,10.19166667,15.49130435,7.216666667,7.945833333,5.65,7.204166667,11.51666667,6.770833333,7.205,8.32173913,7.19,11.10833333,11.95416667,10.94545455,29.77083333,21.33636364,8.983333333,8.708333333,9.404166667,22.03809524,14.48333333,11.24166667,6.25,22.47083333,14.55,4.913636364,7.783333333
"1078",8.983333333,10.95833333,3.991666667,11.8,9.408333333,7.979166667,9.5625,4.020833333,4.3875,11.69166667,7.979166667,11.30416667,13.65,10.42916667,11.3625,9.45,10.00833333,8.304166667,8.470833333,9.658333333,10.72083333,9.841666667,18.18333333,13.19583333,12.7875,25.82083333,32.94583333,12.2125,13.20833333,11.60416667,11.35909091,11.20833333,12.8375,7.7375,16.75,17.09166667,10.04583333,11.00833333
"1079",14.52916667,9.129166667,5.470833333,12.95833333,33.18636364,13.425,16.825,9.033333333,4.158333333,16.09166667,12.74583333,16.1125,22.96956522,11.44166667,11.43333333,10.25,10.9875,11.72083333,14.425,17.77083333,14.61666667,14.85217391,27.66666667,26.65833333,21.07083333,32.05833333,29.81304348,20.82916667,13.34583333,14.75833333,20.43333333,4.629166667,16.47083333,6.054166667,12.4,11.98333333,12.375,20.8
"1080",18.01666667,13.0375,8.145833333,18.40416667,39.9625,17.95,18.65,9.170833333,5.458333333,16.175,8.090909091,9.5375,15.85416667,24.04166667,26.15416667,20.84166667,7.9125,11.34166667,21.34583333,23.0625,18.67916667,17.2625,41.04583333,45.17916667,18.84166667,18.42916667,27.53333333,22.82916667,27.90416667,22.43333333,22.84347826,6.154166667,16.85,7.166666667,12.14166667,14.50434783,11.60416667,22.45833333
