"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68"
"11",26.59583333,57.02083333,34.84583333,42.975,39.64166667,35.72083333,49.45,50.03333333,39.67083333,35.80833333,56.71666667,20.44166667,24.74583333,26.6,32.725,23.12083333,25.29166667,39.49583333,11.07368421,17.275,21.965,29.75833333,24.19583333,28.2625,37.9,42.11666667,31.31666667,32.545,32.94166667,28.44166667,20.05416667,36.175,31.79090909,21.04166667,26.24166667,30.7,16.44583333,27.68333333,34.57083333,18.04166667,10.28421053,19.59166667,22.45,36.3,24.05,23.56315789,30.42173913,41.13043478,34.57916667,36.93043478,22.16666667,15.80416667,29.5875,29.84166667,32.99166667,25.82083333,28.475,22.38333333,20.89130435,21.34583333,12.91111111,12.22222222,15.27083333,13.09583333,18.03333333,19.8625,20.95416667,32.37916667
"12",5.916666667,31.55416667,26.74166667,27.76666667,12.32083333,14.37083333,16.42916667,11.5125,14.71428571,10.8375,12.33333333,15.37083333,11.42083333,12.65,32.39166667,13.94166667,18.14583333,15.43636364,16.75,11.65,28.6875,40.74583333,11.43333333,11.50416667,43.50416667,53.35,14.375,16.03333333,11.5,6.345833333,8.383333333,55.35,49.4826087,32.68333333,23.12083333,29.8125,12.50416667,9.883333333,13.58333333,38.0125,10.31666667,30.3125,14.42083333,16.66666667,10.88333333,15.93333333,22.35,23.60416667,25.19166667,18.825,18.86666667,24.22083333,42.05833333,30.42916667,16.60833333,10.42083333,10.49166667,7.833333333,14.18333333,26.10416667,14.22916667,12.52727273,25.08333333,8.975,39.95416667,12.92916667,12.50416667,9.966666667
"13",12.04583333,16.36666667,8.504166667,11.10416667,11.1875,13.89565217,15.44583333,13.29166667,14.475,11.7125,14.42608696,18.39583333,22.6,2.508333333,6.879166667,9.720833333,6.141666667,13.87916667,14.85238095,20.44583333,6.666666667,12.47083333,14.04166667,14.27083333,29.68333333,41.35416667,14.52173913,16.81818182,8.133333333,8.616666667,15.33333333,36.29583333,24.40416667,18.65833333,29.64583333,3.752380952,13.675,13.05416667,14.80833333,24.27083333,14.57083333,13.2125,13.65833333,5.9625,5.708333333,10.11052632,11.43333333,7.116666667,10.28333333,9.8,9.533333333,19.79583333,19.775,26.68333333,11.40416667,6.954166667,4.233333333,10.82380952,4.55,18.2625,13.46666667,12.09583333,35.89583333,16.72272727,41.45833333,8.7,6.741666667,11.54583333
"14",6.241666667,15.39166667,11.73333333,10.18333333,7.345833333,11.73636364,9.975,6.975,12.31666667,4.672727273,6.720833333,15.98333333,9.431818182,4.518181818,4.570833333,9.4625,7.654166667,9.643478261,11.55416667,11.04583333,6.333333333,10.32083333,4.908333333,5.10952381,20.21666667,27.3125,9.0375,17.42916667,11.87916667,10.30416667,10.58695652,20.75416667,14.85416667,10.525,31.27083333,10.09166667,9.991666667,9.3125,10.7125,13.19583333,9.454166667,8.129166667,7.5625,7.275,5.9375,12.15,15.68333333,7.508333333,12.29583333,9.7,3.55,13.24166667,9.3,19.325,7.5875,6.5875,5.404166667,6.429166667,3.070833333,11.38333333,19.9,11.3,40.74166667,15.90833333,52.16666667,22.6375,3.4375,5.45
"15",18.2375,18.0125,12.86666667,10.075,31.35,27.66666667,24.42916667,26.47916667,24.30869565,20.95416667,29.57916667,25.48333333,26.10909091,5.108333333,5.316666667,10.8125,14.73333333,26.525,16.8375,26.27916667,10.425,15.66666667,23.745,21.82380952,9.729166667,10.79166667,18.4,33.8,16.54583333,28.64166667,24.3625,7.8625,10.6,7.608333333,29.67916667,12.58333333,26.2375,31.76666667,39.80833333,11.17083333,30.01666667,4.541666667,6.2,17.75833333,13.8,20.7875,10.90833333,17.40416667,14.3125,21.17916667,8.625,10.75833333,9.029166667,14.89583333,20.29583333,16.1625,16.77916667,27.84583333,11.48333333,9.445833333,18.30416667,9.942857143,25.1375,12.32083333,46.6,22.17916667,12.44583333,10.5125
"16",25.675,21.01666667,22.27083333,24.99583333,24.46666667,20.88333333,24.7875,29.31666667,24.4375,19.08333333,30.13333333,19.98333333,22.6,12.7125,11.47916667,9.070833333,23.56666667,33.69583333,17.95833333,23.02916667,36.025,34.61666667,23.95833333,21.65416667,20.62083333,23.0375,25.375,25.24166667,23.30416667,15.275,13.27083333,22.07083333,12.27083333,14.67083333,31.09166667,16.27083333,18.33333333,25.79583333,35.3625,17.4625,20.2375,12.71666667,11.9625,25.25416667,21.40833333,23.07916667,17.87083333,24.55833333,20.53333333,33.1375,14.45,8.170833333,17.21666667,14.26666667,18.10416667,27.51666667,18.32916667,23.63333333,16.3625,11.525,20.71666667,13.13333333,20.70416667,10.03333333,52.75,10.9,18.63333333,21.24166667
"17",12.63333333,13.15833333,10.56666667,7.5375,16.7125,16.60833333,21.22083333,20.94166667,19.02916667,20.09583333,17.85416667,20.64583333,17.82083333,6.32173913,9,8.320833333,19.375,28.15,14.8,21.12083333,19.4375,19.1125,13.8375,15.96666667,23.37916667,34.59166667,18.87083333,23.9,9.9375,24.21666667,21.80416667,27.44583333,24.66666667,18.00833333,25.02083333,13.23333333,20.91666667,19.6625,24.05416667,26.42083333,14.75416667,21.6625,9.154166667,24.3,17.78695652,16.05,10.45833333,11.975,14.90833333,30.72916667,15.08333333,13.46666667,21.15416667,19.54166667,18.1375,18.25416667,15.4,18.075,15.90416667,11.5125,18.82916667,10.75416667,22.12083333,12.14583333,32.46666667,8.866666667,7.875,14.94166667
"18",12.80833333,29.1,20.84583333,30.09166667,26.40416667,26.4625,31.33333333,33.00833333,30,20.8,34.175,20.5,21.2,24.94166667,21.29166667,14.4375,39.88333333,42.90416667,16.32272727,17.61666667,46.58333333,56.85,22.475,20.72,17.8125,27.63333333,17.43333333,17.14166667,15.21666667,25.55833333,14.6,28.22916667,24.09583333,18.26666667,24.65416667,16.06666667,17.63333333,27.24583333,21.65,21.5125,13.47619048,22.06956522,19.65416667,48.09166667,40.36666667,19.35833333,26.14166667,37.52916667,21.83333333,50.8,20.84166667,5.958333333,23.15833333,8.679166667,22.21666667,26.20833333,24.47916667,20.87083333,24.8625,14.13333333,19.52173913,13.65,18.43333333,12.7875,47.1375,14.15416667,13.14583333,20.02083333
"19",11.0125,42.02083333,19.54583333,40.6875,19.6,18.775,25.9125,22.10416667,19.95833333,12.70454545,22.8875,13.41666667,12.9375,36.09166667,27.64583333,35.62083333,18.22916667,27.29583333,16.73333333,10.74166667,33.82916667,22.01666667,14.375,17.66666667,30.66666667,35.92083333,13.58333333,13.39166667,10.67083333,14.5,17.79166667,43.35416667,34.04545455,22.04166667,20.475,47.675,10.6125,12.80833333,12.61666667,27.77083333,8.928571429,38.12083333,30.81666667,28.39583333,24.59583333,12.86521739,40.175,30.69583333,24.83333333,33.37083333,21.6625,2.125,26.08333333,9.080952381,16.2125,19.0875,15.425,16.99583333,15.03333333,28.4375,19.7875,11.99166667,19.67916667,14.55833333,34.45833333,23.73333333,12.37916667,25.95
"20",11.46666667,29.2875,15.57083333,24.20416667,24.52916667,21.07916667,16.18333333,26.95833333,21.525,22.54347826,30.7125,16.4875,8.004166667,13.69166667,34.49166667,25.17083333,10.42916667,18.45833333,15.475,11.1375,36.75833333,22.6875,13.80416667,22.97083333,11.97916667,15.02083333,20.9173913,17.76521739,14.14090909,14.5,20.29166667,19.5,14.53333333,14.75833333,16.50833333,50.225,10.635,15.48333333,14.12916667,14.72380952,12.86666667,13.97916667,11.325,15.25,14.46666667,5.608333333,29.45416667,21.4625,22.50833333,19.42916667,12.84583333,2.5875,28.59166667,9.7125,11.97083333,11.01666667,12.23333333,9.695833333,15.2125,15.8375,21.50833333,12.62083333,22.93333333,13.74166667,22.17916667,27.575,40.29166667,31.59583333
"21",5.929166667,35.8625,12.3375,28.80833333,14.55416667,14.63043478,13.92083333,17.40833333,14.97916667,9.058333333,16.13043478,15.27083333,11.96521739,6.617391304,42.88333333,27.65416667,14.20416667,14.275,16.24347826,11.01666667,38.28333333,25.44583333,11.98333333,12.28333333,4.570833333,8.25,10.83333333,10.025,8.729166667,10.70416667,12.59130435,16.625,11.97916667,9.595833333,17.3875,23.7875,11.62083333,10.7875,10.45,10.3,7.683333333,6.679166667,7.941666667,11.2,10.725,1.895652174,21.125,15.6375,13.63333333,12.09166667,7.108333333,3.916666667,14.32083333,9.875,9.004166667,9.204166667,6.383333333,8.320833333,7.1375,8.391666667,19.19583333,16.75833333,23.67083333,23.09583333,24.64166667,34.58333333,6.391666667,9.4125
"22",7.904166667,29.27083333,11.84166667,26.78333333,17.50416667,15.97916667,18.46666667,20.82916667,19.4375,11.61666667,24.11363636,12.875,20.7375,7.075,30.0125,20.6875,18.35,19.14285714,12.92916667,18.37083333,11.27916667,15.99565217,17.14583333,14.8125,8.275,14.81666667,8.845833333,11.0375,11.3375,15.2,15.39583333,18.07916667,14.8,8.6875,32.29166667,11.02916667,11.43333333,19.00833333,14.87083333,15.28333333,10.02916667,10.1125,7.241666667,7.841666667,8.583333333,18.56818182,6.266666667,10.82083333,8.358333333,11.23333333,8.619047619,3.7375,12.48333333,7.35,11.14166667,10.09583333,10.88333333,10.00833333,9.345833333,10.86666667,23.96666667,11.575,21.78333333,14.8125,31.05416667,27.67727273,5.095833333,8.245833333
